"time","Low_M1","Low_M2","Low_M3","Low_M4","Low_F1","Low_F2","Low_F3","Low_F4","Births_Low","GFR_Low","Deaths_LowM1","MortRate_LowM1","Deaths_LowM2","MortRate_LowM2","Deaths_LowM3","MortRate_LowM3","Deaths_LowM4","MortRate_LowM4","Deaths_LowF1","MortRate_LowF1","Deaths_LowF2","MortRate_LowF2","Deaths_LowF3","MortRate_LowF3","Deaths_LowF4","MortRate_LowF4","Migrants_Low","MigRate_Low","EconOutput_Low","LowPop","IncomeShareBottomQuintile_Low","SmoothPoorIncome_Low","Inequality_Low","HealthCapitalExpenditures_Low","HealthServices_Low","FemaleAccessHealthFacility_Low","FemaleHealthAccess_Low","FemaleHealthAccess_PoorLow","GeneralHealthAccessQuality_Low","GeneralHealthAccess_RichLow","PoorGeneralHealthAccessQuality_Low","SmoothPoorGeneralHealth_Low","GovtExpendituresEducation_Low","EducationServices_Low","FemaleSecondaryEducation_Low","FemaleEduAttain_Low","Capital_Low","CO2EmissionPC_Low","CO2Emission_Low","NutritionConsumptionPC_Low","FishConsumption_Low","MeatConsumption_Low","CropConsumption_Low","FoodConsPC_Low","GeneralHealthAccess_PoorLow","Mid_M1","Mid_M2","Mid_M3","Mid_M4","Mid_F1","Mid_F2","Mid_F3","Mid_F4","Births_Mid","GFR_Mid","Deaths_MidM1","MortRate_MidM1","Deaths_MidM2","MortRate_MidM2","Deaths_MidM3","MortRate_MidM3","Deaths_MidM4","MortRate_MidM4","Deaths_MidF1","MortRate_MidF1","Deaths_MidF2","MortRate_MidF2","Deaths_MidF3","MortRate_MidF3","Deaths_MidF4","MortRate_MidF4","Migrants_Mid","MigRate_Mid","EconOutput_Mid","MidPop","IncomeShareBottomQuintile_Mid","SmoothPoorIncome_Mid","Inequality_Mid","HealthCapitalExpenditures_Mid","HealthServices_Mid","FemaleAccessHealthFacility_Mid","FemaleHealthAccess_Mid","FemaleHealthAccess_PoorMid","GeneralHealthAccessQuality_Mid","GeneralHealthAccess_RichMid","PoorGeneralHealthAccessQuality_Mid","SmoothPoorGeneralHealth_Mid","GovtExpendituresEducation_Mid","EducationServices_Mid","FemaleSecondaryEducation_Mid","FemaleEduAttain_Mid","Capital_Mid","CO2EmissionPC_Mid","CO2Emission_Mid","NutritionConsumptionPC_Mid","FishConsumption_Mid","MeatConsumption_Mid","CropConsumption_Mid","FoodConsPC_Mid","GeneralHealthAccess_PoorMid","High_M1","High_M2","High_M3","High_M4","High_F1","High_F2","High_F3","High_F4","Births_High","GFR_High","Deaths_HighM1","MortRate_HighM1","Deaths_HighM2","MortRate_HighM2","Deaths_HighM3","MortRate_HighM3","Deaths_HighM4","MortRate_HighM4","Deaths_HighF1","MortRate_HighF1","Deaths_HighF2","MortRate_HighF2","Deaths_HighF3","MortRate_HighF3","Deaths_HighF4","MortRate_HighF4","Migrants_High","MigRate_High","EconOutput_High","HighPop","IncomeShareBottomQuintile_High","SmoothPoorIncome_High","Inequality_High","HealthCapitalExpenditures_High","HealthServices_High","FemaleAccessHealthFacility_High","FemaleHealthAccess_High","FemaleHealthAccess_PoorHigh","GeneralHealthAccessQuality_High","GeneralHealthAccess_RichHigh","PoorGeneralHealthAccessQuality_High","SmoothPoorGeneralHealth_High","GovtExpendituresEducation_High","EducationServices_High","FemaleSecondaryEducation_High","FemaleEduAttain_High","Capital_High","CO2EmissionPC_High","CO2Emission_High","NutritionConsumptionPC_High","FishConsumption_High","MeatConsumption_High","CropConsumption_High","FoodConsPC_High","GeneralHealthAccess_PoorHigh","Fishstock","Livestock","Crops","CoalProduction","CoalReserves","OilProduction","OilReserves","GasProduction","GasReserves","CO2Conc","TempAnamoly","GrazeLand","Fisheries","CropLand","GlobalFishProduction","GlobalMeatProduction","GlobalCropProduction","GlobalMeatLoss","GlobalCropLoss","MunicipalWaterConsumption","SmoothMunicipalWaterConsumption","IndustrialWaterConsumption","SmoothIndustrialWaterConsumption","AgriculturalWaterConsumption","SmoothAgriculturalWaterConsumption","Freshwater"
1980,56303.989,55877.602,8607.003,3327.096,55517.443,57382.839,9708.443,4244.782,11191.11741,195.0255095,1469.014035,26.09076304,430.8769861,7.71108585,209.9089314,24.38815595,263.4090786,79.1708681,1330.439558,23.96435221,384.897002,6.707528047,185.3834267,19.09507288,301.5463857,71.03931031,-773.79064,-0.00308321,NA,250969.197,NA,10.20039017,0.102003902,NA,35.06668812,NA,0.209772661,NA,NA,0.144148694,NA,0.111793855,NA,150.0824284,0.028721739,0.026514286,134604,0.391676883,106507.0904,2090.2,2069355,2110117,47548964,206.1146811,0.128105513,634556.212,807166.652,150635.671,64999.386,606583.681,773664.143,153443.336,84938.656,101092.8075,130.6675622,7158.194379,11.28063085,2992.652989,3.707602366,2753.408688,18.27859676,4635.628351,71.31803293,6448.150209,10.63027314,2254.724119,2.914344861,1946.347202,12.68446876,5080.459608,59.81327992,-684.95468,-0.000209083,2.28326e+12,3275987.737,NA,7.82536644,0.078253664,NA,126.5633829,NA,0.455200828,NA,NA,0.335249776,NA,0.311133873,NA,2363.110482,0.094937143,0.094479745,472979,1.838867242,5893907.122,2369.315789,24431993,40177972,846983415,278.2651991,0.226364865,113184.646,238236.569,63334.34,42232.84,107115.674,231895.896,70988.104,62951.056,14117.58356,60.87897113,187.35248,1.65528176,565.962941,2.3756342,901.3429619,14.23150477,2737.363115,64.81598478,140.8043486,1.314507423,257.241781,1.109298549,491.4439362,6.922905508,3052.727355,48.49366395,1457.47968,0.001567285,8.9015e+12,929939.125,NA,8.710551147,0.087105511,NA,40372.22664,NA,0.975510951,NA,NA,0.638765024,NA,0.622798358,NA,19533.78165,0.186492157,0.188633544,312807,11.69168701,11250071.71,3004.456522,34634143,73349626,771904281,946.1781168,0.365597786,50347682,134247998,1116734309,NA,193097.5682,22975.70435,2655498.147,1429.551672,6922247.185,338.8,0.26,3197352800,2920353550,1452360500,70776686,135649083,2030145301,550391,126181477,219,219.4509184,713,715.1677928,2112,2116.107345,39729.27394
1981,57841.076,57101.307,8752.859,3430.786,57014.792,58603.694,9896.939,4367.176,11523.47397,196.6339182,1493.241858,25.81628768,434.8507304,7.615425168,213.9141471,24.43934572,273.2622929,79.65005479,1352.474456,23.72146611,383.1106203,6.5373118,188.4275733,19.03897491,312.0661286,71.45719077,-867.91896,-0.003377003,76048999891,257008.629,NA,9.432973102,0.094329731,NA,38.2920933,NA,0.220517908,NA,NA,0.148635514,NA,0.11601616,NA,150.1065969,NA,0.028431429,140804,0.415203112,115723.8681,2109.52,2243176,2200218,50724615,214.6543064,0.129222718,640608.41,828617.258,154464.627,67228.672,612255.579,794777.207,156948.409,87357.345,102892.8501,129.4612492,7030.227393,10.97429769,3032.711433,3.659966533,2799.125948,18.12146899,4800.083885,71.39935599,6329.766463,10.33843819,2269.274495,2.855233486,1971.41152,12.56088884,5236.424528,59.9425787,-561.12752,-0.000167889,2.4633e+12,3342257.507,NA,7.743299173,0.077432992,NA,154.12858,NA,0.467941683,NA,NA,0.341641959,NA,0.317085086,NA,2452.992655,NA,0.099582551,470863,1.815606531,5934760.85,2381.486842,25598731,42027312,886872534,285.5849901,0.228394231,112306.122,241215.762,64348.208,42696.733,106316.958,234515.251,71861.854,63773.929,14079.15051,60.03511692,182.64612,1.626323808,562.1186948,2.3303564,899.5056595,13.9787212,2763.570614,64.72557546,137.2901729,1.291329017,255.7250048,1.090440829,490.067321,6.81957525,3085.165516,48.37659471,1426.50472,0.00152236,9.03947e+12,937034.817,NA,8.492082998,0.08492083,NA,42146.21895,NA,0.97609098,NA,NA,0.644947882,NA,0.628806042,NA,20032.11023,NA,0.194458908,312073,11.12246152,10792547.25,2994.608696,36084275,73698322,841427720,1015.12804,0.367616697,52835834,136434158,1145294492,3913.89328,189183.6749,21734.47988,2633763.667,1454.370746,6920792.815,339.99,0.3,3201006500,2920346550,1450236000,73633789,138217169,2117586456,619727,121836092,NA,227.9256079,NA,714.1462344,NA,2150.224488,39687.70367
1982,59347.956,58402.429,8912.248,3523.772,58479.443,59905.937,10105.219,4481.424,11855.83053,197.9074383,1515.717484,25.53950609,441.1780257,7.554104054,217.9193629,24.45167177,283.1155071,80.34444542,1372.74909,23.47404523,384.4585599,6.417703807,191.47172,18.94780509,322.5858714,71.9828946,-962.04728,-0.003655772,79824174286,263158.428,NA,8.742594407,0.087425944,NA,41.8141686,NA,0.231263155,NA,NA,0.153122335,NA,0.120238464,NA,150.1378511,NA,0.030348571,139603,0.387429975,110670.7271,2102.56,2231142,2272356,49537286,205.3545631,0.130292403,647161.236,850440.404,158316.159,69256.874,618201.729,816438.94,160636.385,89521.19,104394.7594,127.8659729,6902.260407,10.66544166,3072.769877,3.61315133,2844.843209,17.96937992,4964.539419,71.6829844,6211.382717,10.04750137,2283.824871,2.797300275,1996.475837,12.42854063,5392.389449,60.2359,-437.30036,-0.000128242,2.44593e+12,3409972.917,NA,7.652658823,0.076526588,NA,187.6974101,NA,0.480682538,NA,NA,0.348034142,NA,0.323036298,NA,2548.128738,NA,0.104685357,482219,1.890471547,6305614.624,2376.631579,27202457,43862389,912378811,288.40219,0.230383758,111611.711,244071.934,65530.096,42908.311,105720.309,236983.914,72923.153,64319.83,14040.71747,59.24755495,177.93976,1.594274995,558.2744486,2.287335702,897.6683571,13.69856618,2789.778113,65.01719708,133.7759971,1.265376524,254.2082286,1.072681366,488.6907057,6.701447834,3117.603677,48.47033453,1395.52976,0.001478207,8.95345e+12,944069.258,NA,8.289693746,0.082896937,NA,43998.1621,NA,0.97667101,NA,NA,0.651130739,NA,0.634813727,NA,20553.44773,NA,0.200284272,314605,10.62685108,10393658.34,3007.043478,36220221,73039546,874591535,1042.138904,0.369619052,53781876,137759975,1190644458,4051.885641,185131.7893,20912.94268,2612850.724,1457.759711,6919335.055,340.76,0.18,3205789200,2920366550,1464215240,75798978,139522846,2215106068,623508,129526374,NA,236.3690008,NA,713.6071893,NA,2183.024,39646.99981
1983,60832.853,59797.334,9087.583,3607.921,59928.088,61303.248,10332.666,4591.084,12188.18709,198.8179661,1536.423411,25.25647467,449.6515965,7.519592705,221.9245786,24.42063842,292.9687214,81.20153447,1391.254787,23.21540423,388.6847563,6.340361546,194.5158667,18.82533188,333.1056143,72.55489429,-1056.1756,-0.003919298,74518063760,269480.777,NA,8.125851418,0.081258514,NA,45.6602015,NA,0.242008402,NA,NA,0.157609155,NA,0.124460768,NA,150.178268,NA,0.032265714,139622,0.417644906,122284.7503,2075.88,1971411,2319021,49446851,199.41045,0.131317539,654080.541,872738.18,162312.775,71150.705,624370.298,838618.943,164543.04,91564.761,105617.4134,125.9420792,6774.293421,10.35697135,3112.828321,3.566737875,2890.560469,17.80858265,5128.994952,72.08635462,6092.998971,9.758630401,2298.375248,2.740666982,2021.540155,12.28578343,5548.354369,60.59486541,-313.4732,-9.00946e-05,2.40397e+12,3479379.243,NA,7.554436983,0.07554437,NA,228.5774497,NA,0.493423393,NA,NA,0.354426326,NA,0.328987511,NA,2648.735831,NA,0.109788163,462021,1.921024284,6537468.794,2390.539474,26348246,45476415,965114413,298.0241594,0.232334608,111037.651,246833.454,66778.97,43011.672,105253.695,239342.568,74037.142,64768.296,14002.28442,58.50310932,173.2334,1.560132067,554.4302024,2.246171228,895.8310548,13.41486781,2815.985612,65.47026612,130.2618214,1.237598561,252.6914524,1.055773131,487.3140905,6.582021906,3150.041838,48.63555215,1364.5548,0.001434767,9.24398e+12,951063.448,NA,8.102804092,0.081028041,NA,45931.48131,NA,0.97725104,NA,NA,0.657313596,NA,0.640821412,NA,21098.53538,NA,0.206109636,325462,10.5247011,10370513.69,3000.673913,37712486,74711093,746714945,903.3451194,0.371605052,54921467,142060254,1234335631,4059.613977,181072.1753,20663.03429,2592187.69,1469.878328,6917865.177,342.43,0.34,3210720600,2920374550,1467361240,76060842,144120450,2145591538,693683,132872694,NA,244.78373,NA,713.5523577,NA,2214.565328,39607.09858
1984,62309.374,61305.077,9282.188,3685.635,61382.588,62813.585,10578.49,4700.662,12520.54364,199.328595,1555.342135,24.96160746,460.0641677,7.504503545,225.9297943,24.34014419,302.8219357,82.16275776,1407.982877,22.93782199,395.5331447,6.296936319,197.5600133,18.67563455,343.6253571,73.10148169,-965.94568,-0.003499073,68701675890,276057.599,NA,7.579341473,0.075793415,NA,49.85998934,NA,0.252753649,NA,NA,0.162095975,NA,0.128683072,NA,150.230533,NA,0.034182857,146059,0.44184108,132649.6825,2071.04,2064685,2334651,48964996,193.308687,0.13230085,661193.886,895599.181,166640.212,72989.948,630719.123,861210.53,168728.754,93664.995,106579.6898,123.7556743,6646.326436,10.05200831,3152.886766,3.520421671,2936.27773,17.62046324,5293.450486,72.52300668,5974.615226,9.472703471,2312.925624,2.685668072,2046.604472,12.12955364,5704.31929,60.90129284,-486.78172,-0.000137093,2.4466e+12,3550746.629,NA,7.449625251,0.074496253,NA,278.3610625,NA,0.506164249,NA,NA,0.360818509,NA,0.334938724,NA,2755.027999,NA,0.114890969,475691,1.97943293,6869675.455,2405.552632,29813308,47843604,1018845661,308.8090161,0.234247897,110455.715,249564.617,67970.748,43201.625,104771.418,241679.29,75016.621,65378.825,13963.85138,57.77843594,168.52704,1.525743055,550.5859562,2.206185968,893.9937524,13.1526249,2842.193111,65.78903249,126.7476457,1.209754035,251.1746762,1.039289201,485.9374752,6.477730785,3182.479999,48.67753434,1447.3788,0.001510773,9.64153e+12,958038.859,NA,7.930834737,0.079308347,NA,47949.75232,NA,0.97783107,NA,NA,0.663496453,NA,0.646829097,NA,21668.10431,NA,0.211935,335241,10.73041155,10647741.69,3020.108696,39895650,75656928,887738524,1047.234246,0.373574898,57836723,145744839,1270432026,4257.014976,176815.1604,21043.74573,2571143.944,1597.005214,6916268.171,343.99,0.15,3222096900,2920527450,1484970660,82475706,148219408,2327799304,716130,138321376,NA,253.1724287,NA,713.9834398,NA,2244.907925,39567.93621
1985,63798.149,62933.833,9497.035,3757.997,62865.726,64445.999,10841.389,4812.574,12852.9002,199.4367439,1572.456152,24.64736324,472.2084637,7.50325288,229.93501,24.21124172,312.67515,83.20260767,1422.924686,22.63434746,404.7476605,6.280415647,200.60416,18.50354784,354.1451,73.58746068,-875.71576,-0.003094919,71306600168,282952.702,7.099661912,7.099661912,0.070996619,NA,54.44607023,NA,0.263498896,NA,NA,0.166582796,NA,0.132905376,NA,150.2981181,0.035552174,0.0361,144902,0.422116484,130006.404,2116.16,2038777,2375140,55154710,210.5250333,0.133244846,668539.857,918933.695,171361.5,74826.246,637331.693,884031.034,173190.802,95925.647,107300.4666,121.3763573,6518.35945,9.750143364,3192.94521,3.474619798,2981.99499,17.40177922,5457.90602,72.94106429,5856.23148,9.188671369,2327.476,2.632798975,2071.66879,11.96177145,5860.28421,61.09194353,-660.09024,-0.000182137,2.57902e+12,3624140.474,7.339215222,7.339215222,0.073392152,NA,338.9874252,0.4982,0.518905104,NA,NA,0.367210692,NA,0.340889937,NA,2867.214356,0.119402857,0.119993775,465972,2.069360058,7323616.532,2416.5,32293375,50862754,1034505016,308.3934392,0.236124701,109810.544,252285.13,69040.842,43584.177,104202.647,244032.064,75757.553,66299.939,13925.41833,57.06388784,163.82068,1.49184836,546.74171,2.16715789,892.15645,12.92215483,2868.40061,65.81288916,123.23347,1.182632817,249.6579,1.023053675,484.56086,6.396205273,3214.91816,48.4905146,1530.2028,0.001585681,1.01362e+13,965012.896,7.773206382,7.773206382,0.077732064,NA,50056.70799,0.97,0.9784111,NA,NA,0.66967931,NA,0.652836781,NA,22262.8712,0.213452941,0.217760364,342898,10.76742413,10759652.53,3036.673913,39968651,77608541,902598370,1057.162621,0.375528786,60126736,151117962,1300895869,4479.727933,172335.4324,20953.6259,2550190.319,1639.449801,6914628.722,345.46,0.13,3237057400,2920539450,1500963000,85033837,153297170,2371276214,743435,140806122,NA,261.5377301,NA,714.9021358,NA,2274.111239,39529.4489
1986,65597.512,64366.918,9688.233,3891.784,64643.63,65975.918,11053.435,4964.014,13185.25676,199.8495384,1587.74796,24.20439299,485.8772094,7.548554825,233.9402257,24.1468414,322.5283643,82.87416884,1436.071542,22.21520577,416.0722392,6.306425917,203.6483067,18.42398374,364.6648429,73.46168703,-785.48584,-0.002706878,80539299605,290181.444,NA,6.683410072,0.066834101,NA,59.45397506,NA,0.274244143,NA,NA,0.171069616,NA,0.13712768,NA,150.385512,NA,0.038017143,145957,0.432269904,136642.9887,2116.68,2196241,2424488,55449644,207.0096977,0.134151837,678586.612,940855.038,175503.692,77157.91,646543.065,905528.261,177110.65,98458.984,107798.6216,119.0450108,6390.392464,9.417209758,3233.003654,3.436239935,3027.71225,17.25155873,5622.361554,72.86824583,5737.847734,8.874656686,2342.026376,2.586364752,2096.733108,11.838549,6016.24913,61.1041155,-833.39876,-0.000225258,2.69103e+12,3699744.212,NA,7.224198491,0.072241985,NA,412.8180623,NA,0.531645959,NA,NA,0.373602875,NA,0.34684115,NA,2985.496969,NA,0.125096582,471103,2.119606653,7650628.811,2424.592105,36290031,52940437,1082698479,316.7594514,0.237966053,109445.815,254627.906,69749.215,44426.663,103969.64,246179.301,76139.028,67457.64,13886.98528,56.41004434,159.11432,1.45381822,542.8974638,2.132120836,890.3191476,12.76457588,2894.608109,65.15474973,119.7192943,1.151483205,248.1411238,1.007969081,483.1842448,6.34607845,3247.356321,48.13919255,1613.0268,0.001659501,1.23028e+13,971995.208,NA,7.629339725,0.076293397,NA,52256.24521,NA,0.97899113,NA,NA,0.675862167,NA,0.658844466,NA,22883.53366,NA,0.223585728,344116,10.73045392,10800749.43,3044.695652,41761144,78639779,875436196,1024.528836,0.377466909,63198232,155356551,1345351452,4595.213334,167740.2191,21989.85289,2528200.466,1682.964104,6912945.758,346.87,0.23,3252279400,2920530450,1511473200,91620117,157937929,2424541305,1254161,147357645,NA,269.8822672,NA,716.3101459,NA,2302.234721,39491.57287
1987,67350.508,65974.294,9908.181,4024.107,66383.579,67688.996,11293.832,5120.138,13517.61331,199.7017848,1601.200053,23.77413476,500.8631295,7.591792183,237.9454414,24.01504791,332.3815786,82.59759956,1447.414774,21.80380744,429.250816,6.341515481,206.6924533,18.30135718,375.1845857,73.27626437,-695.25592,-0.002335082,83703220871,297743.635,NA,6.327183291,0.063271833,NA,64.92250287,NA,0.28498939,NA,NA,0.175556436,NA,0.141349984,NA,150.4985171,NA,0.039934286,145494,0.46699335,151575.3042,2105.72,2453984,2490543,54750187,200.4903111,0.135023959,688625.772,963365.767,180118.845,79417.8,655758.148,927368.082,181436.826,101059.509,108093.0326,116.5589314,6262.425479,9.094091063,3273.062099,3.397527928,3073.429511,17.06334232,5786.817088,72.86549221,5619.463989,8.569415425,2356.576752,2.541144987,2121.797425,11.69441437,6172.214051,61.07504491,-1006.70728,-0.000266526,2.76481e+12,3777150.749,NA,7.105566653,0.071055667,NA,502.7288326,NA,0.544386814,NA,NA,0.379995059,NA,0.352792363,NA,3110.068551,NA,0.130199388,441573,2.188399712,8056851.137,2434.710526,37900127,56088045,1087268998,312.7376291,0.239772948,108947.68,257012.347,70417.547,45405.412,103570.908,248394.334,76359.482,68883.666,13848.55224,55.75228716,154.40796,1.417267077,539.0532176,2.097382573,888.4818452,12.61733592,2920.815608,64.32747726,116.2051186,1.121986095,246.6243476,0.992874288,481.8076295,6.309728889,3279.794482,47.61352977,1695.8508,0.001732243,1.42491e+13,978991.376,NA,7.498655469,0.074986555,NA,54552.43209,NA,0.979571159,NA,NA,0.682045024,NA,0.664852151,NA,23530.76521,NA,0.229411092,332712,10.95538618,11106640.47,3065.826087,41790010,80678212,830747307,973.6710173,0.379389457,66521674,161394756,1380453180,4685.796651,163054.4224,22121.42942,2506079.036,1768.219678,6911177.538,348.62,0.37,3262874700,2920406450,1517204000,93522692,163621553,2377559861,821376,151368410,NA,278.2086732,NA,718.2091703,NA,2329.33782,39454.24434
1988,69107.231,67733.467,10155.637,4153.743,68124.862,69551.363,11561.145,5279.065,13849.96987,199.1329756,1612.794929,23.33757128,516.9589485,7.632252879,241.9506571,23.82427189,342.2347929,82.39190361,1456.945709,21.38640235,444.0273264,6.384164267,209.7366,18.14150761,385.7043286,73.06300047,-605.026,-0.001979366,90497291823,305666.513,NA,6.027578908,0.060275789,NA,70.89402138,NA,0.295734637,NA,NA,0.180043256,NA,0.145572289,NA,150.6446331,NA,0.041851429,149768,0.470683589,156943.8722,2126.16,2296923,2612744,59384050,210.3394198,0.135863184,698525.672,986180.445,184883.498,81671.82,664826.975,949367.75,185893.593,103744.294,108202.5775,113.9733022,6134.458493,8.782008649,3313.120543,3.359548001,3119.146771,16.87087709,5951.272621,72.86812785,5501.080243,8.27445403,2371.127129,2.497585502,2146.861743,11.54887432,6328.178971,60.99785084,-1180.0158,-0.000306093,2.99229e+12,3855094.047,NA,6.984311305,0.069843113,NA,612.2219501,NA,0.55712767,NA,NA,0.386387242,NA,0.358743576,NA,3241.109974,NA,0.135302194,452360,2.269328912,8519436.213,2443.473684,41606981,59794618,1129817634,319.3746295,0.241546345,108404.257,259382.968,71067.677,46470.068,103096.807,250612.837,76486.306,70486.283,13810.11919,55.10539427,149.7016,1.380956838,535.2089714,2.063392888,886.6445429,12.47605916,2947.023107,63.4176629,112.6909429,1.093059486,245.1075714,0.978032787,480.4310143,6.281268366,3312.232643,46.99116625,1778.6748,0.001803917,1.60503e+13,986007.203,NA,7.380574314,0.073805743,NA,56949.51552,NA,0.980151189,NA,NA,0.688227882,NA,0.670859836,NA,24205.2099,NA,0.235236457,334593,11.27630193,11515468.41,3064.23913,42727942,82114134,747304573,884.5236083,0.381296617,67825863,167558452,1412441493,4794.839826,158259.5826,22967.33744,2483111.699,1846.320838,6909331.217,351.14,0.37,3280586200,2920409450,1520087200,98157321,169782513,2332274839,844668,149090385,NA,286.5195813,NA,720.6009091,NA,2355.479987,39417.39952
1989,70929.24,69614.256,10429.491,4279.323,69908.599,71523.648,11854.444,5437.456,14182.32643,198.2886336,1622.515085,22.87512294,533.9573912,7.670230522,245.9558729,23.58273025,352.0880071,82.27656738,1464.655676,20.95100884,460.1457057,6.43347646,212.7807467,17.94944973,396.2240714,72.8693844,-446.4038,-0.001421775,89626365754,313976.457,NA,5.781194261,0.057811943,NA,77.41479526,NA,0.306479884,NA,NA,0.184530077,NA,0.149794593,NA,150.833552,NA,0.043768571,152225,0.454278296,155694.7812,2136.52,2365166,2671460,61511732,211.9533376,0.136671339,707876.184,1009139.259,189358.054,84025.196,673283.454,971542.754,190114.775,106544.803,108146.1341,111.3138188,6006.491507,8.485228975,3353.178987,3.322810957,3164.864032,16.71364891,6115.728155,72.78445569,5382.696497,7.994695941,2385.677505,2.455555862,2171.92606,11.42428862,6484.143892,60.85837797,-1432.37352,-0.000364297,3.18847e+12,3931884.479,NA,6.861424041,0.06861424,NA,745.5624025,NA,0.569868525,NA,NA,0.392779425,NA,0.364694789,NA,3378.787605,NA,0.140405,459299,2.295734791,8783448.794,2436.513158,42861796,61982865,1169243936,324.0401909,0.243287166,107947.656,261669.539,71722.873,47539.266,102688.507,252744.961,76627.701,72105.853,13771.68615,54.48846969,144.99524,1.343199523,531.3647252,2.030670927,884.8072405,12.33647236,2973.230606,62.54262752,109.1767671,1.063183898,243.5907952,0.963781016,479.054399,6.251713059,3344.670804,46.38556601,1872.81076,0.001885925,1.68118e+13,993046.356,NA,7.274516959,0.07274517,NA,59451.92896,NA,0.980731219,NA,NA,0.694410739,NA,0.67686752,NA,24907.47667,NA,0.241061821,347259,11.47178216,11804951.3,3075.543478,42654980,82053079,847385396,978.9003798,0.383188573,70312833,170491902,1443527261,4882.496493,153377.0861,23284.48176,2459827.217,1909.159154,6907422.058,352.79,0.29,3291707400,2920508450,1523718200,99249699,172356485,2492898012,845530,157069625,NA,294.8176246,NA,723.4870626,NA,2380.720672,39380.97464
