,value,min,max,subsystem
Capital_Low,10000000,NA,NA,economy
Capital_Mid,10000000,NA,NA,economy
Capital_High,10000000,NA,NA,economy
EconOutput_Low,NA,NA,NA,economy
EconOutput_Mid,NA,NA,NA,economy
EconOutput_High,NA,NA,NA,economy
RenewableResources,1.00E+20,NA,NA,resource
NonrenewableResources,1.00E+20,NA,NA,resource
CO2Conc,15,NA,NA,climate
GlobalTemp,13,NA,NA,climate
Fisheries,24999,NA,NA,food
Fishstock,50000,NA,NA,food
Livestock,1,NA,NA,food
Crops,0,NA,NA,food
FoodDemandPC_Low,1,NA,NA,food
FoodDemandPC_Mid,1,NA,NA,food
FoodDemandPC_High,1,NA,NA,food
GrazeLand,1,NA,NA,food
CropLand,1,NA,NA,food
EducationServices_Low,1000,NA,NA,educationhealth
EducationServices_Mid,1000,NA,NA,educationhealth
EducationServices_High,1000,NA,NA,educationhealth
HealthServices_Low,1000,NA,NA,educationhealth
HealthServices_Mid,1000,NA,NA,educationhealth
HealthServices_High,1000,NA,NA,educationhealth
LowPop_RM1,4600,NA,NA,population
LowPop_RM2,4800,NA,NA,population
LowPop_RM3,800,NA,NA,population
LowPop_RM4,300,NA,NA,population
LowPop_RF1,5500,NA,NA,population
LowPop_RF2,5700,NA,NA,population
LowPop_RF3,900,NA,NA,population
LowPop_RF4,400,NA,NA,population
LowPop_PM1,42000,NA,NA,population
LowPop_PM2,43400,NA,NA,population
LowPop_PM3,7700,NA,NA,population
LowPop_PM4,2900,NA,NA,population
LowPop_PF1,49900,NA,NA,population
LowPop_PF2,52100,NA,NA,population
LowPop_PF3,8800,NA,NA,population
LowPop_PF4,3800,NA,NA,population
MidPop_RM1,4600,NA,NA,population
MidPop_RM2,4800,NA,NA,population
MidPop_RM3,800,NA,NA,population
MidPop_RM4,300,NA,NA,population
MidPop_RF1,5500,NA,NA,population
MidPop_RF2,5700,NA,NA,population
MidPop_RF3,900,NA,NA,population
MidPop_RF4,400,NA,NA,population
MidPop_PM1,42000,NA,NA,population
MidPop_PM2,43400,NA,NA,population
MidPop_PM3,7700,NA,NA,population
MidPop_PM4,2900,NA,NA,population
MidPop_PF1,49900,NA,NA,population
MidPop_PF2,52100,NA,NA,population
MidPop_PF3,8800,NA,NA,population
MidPop_PF4,3800,NA,NA,population
HighPop_RM1,4600,NA,NA,population
HighPop_RM2,4800,NA,NA,population
HighPop_RM3,800,NA,NA,population
HighPop_RM4,300,NA,NA,population
HighPop_RF1,5500,NA,NA,population
HighPop_RF2,5700,NA,NA,population
HighPop_RF3,900,NA,NA,population
HighPop_RF4,400,NA,NA,population
HighPop_PM1,42000,NA,NA,population
HighPop_PM2,43400,NA,NA,population
HighPop_PM3,7700,NA,NA,population
HighPop_PM4,2900,NA,NA,population
HighPop_PF1,49900,NA,NA,population
HighPop_PF2,52100,NA,NA,population
HighPop_PF3,8800,NA,NA,population
HighPop_PF4,3800,NA,NA,population
LowTotalPop,NA,NA,NA,population
MidTotalPop,NA,NA,NA,population
HighTotalPop,NA,NA,NA,population
Freshwater,100000,NA,NA,water
