"","x"
"OmegaF_RichM1",0.869294102577964
"OmegaF_PoorM1",0.181349587008807
"OmegaF_M2",0.690464113947919
"OmegaF_M3",1
"OmegaF_M4",1
"OmegaF_RichF1",0.23608738429515
"OmegaF_PoorF1",-1
"OmegaF_F2",1
"OmegaF_F3",1
"OmegaF_F4",1
"OmegaH_RichM1",-100
"OmegaH_PoorM1",-18.9004301500814
"OmegaH_M2",-86.4926708861903
"OmegaH_M3",-21.0188272818703
"OmegaH_M4",-73.0182382360639
"OmegaH_RichF1",-100
"OmegaH_PoorF1",-65.6635452138646
"OmegaH_F2",-100
"OmegaH_F3",-64.6154944937072
"OmegaH_F4",-100
"ThetaU",0.2
"ZetaU",1e-16
"TechMult_Low",4.9366230231808
"TechMult_Mid",5
"TechMult_High",3.47563805111791
"FishProdDelay",3.09365773454592
"LivestockProdDelay",1
"CropsProdDelay",2.54501845901458
"PsiE1_Low",1e-16
"PsiE1_Mid",15.4703407327164
"PsiE1_High",1e-16
"PsiE2_Low",-1.84064441278907
"PsiE2_Mid",0.891461818326339
"PsiE2_High",0.684457583537023
"LambdaE_Low",1e-16
"LambdaE_Mid",4.2459632749909
"LambdaE_High",0.951764935654018
"LambdaH_Low",1e-16
"LambdaH_Mid",1.43899287261439
"LambdaH_High",1.81411354975191
"ChiEF1_Low",4.52732854936714
"ChiEF1_Mid",0.235441480072261
"ChiEF1_High",-5
"ChiHF1_Low",4.6146739233074
"ChiHF1_Mid",-5
"ChiHF1_High",5
"ChiHA1_RichLow",-5
"ChiHA1_RichMid",-2.30144304545521
"ChiHA1_RichHigh",-4.47604048130048
"ChiHA1_PoorLow",5
"ChiHA1_PoorMid",-3.65845485632049
"ChiHA1_PoorHigh",-1.71668310968547
"ChiEF2_Low",5
"ChiEF2_Mid",1e-16
"ChiEF2_High",1e-16
"ChiHF2_Low",1e-16
"ChiHF2_Mid",1e-16
"ChiHF2_High",1.90578180017541
"ChiHA2_RichLow",1e-16
"ChiHA2_RichMid",0.435028467991811
"ChiHA2_RichHigh",2.39030730581192
"ChiHA2_PoorLow",5
"ChiHA2_PoorMid",3.03605661498709
"ChiHA2_PoorHigh",4.77132793593018
"ChiHA3_RichLow",0.793371214293586
"ChiHA3_RichMid",2.03672224523128
"ChiHA3_RichHigh",1e-16
"ChiHA3_PoorLow",1.63752799823079
"ChiHA3_PoorMid",0.808509289239885
"ChiHA3_PoorHigh",0.918778342368909
