"","time","Capital_Low","Capital_Mid","Capital_High","TechMult_Low","TechMult_Mid","TechMult_High","CoalReserves","OilReserves","GasReserves","CO2Conc","Fisheries","Fishstock","Livestock","Crops","FoodDemandPC_Low","FoodDemandPC_Mid","FoodDemandPC_High","GrazeLand","CropLand","EducationServices_Low","EducationServices_Mid","EducationServices_High","HealthServices_Low","HealthServices_Mid","HealthServices_High","Low_M1","Low_M2","Low_M3","Low_M4","Low_F1","Low_F2","Low_F3","Low_F4","Mid_M1","Mid_M2","Mid_M3","Mid_M4","Mid_F1","Mid_F2","Mid_F3","Mid_F4","High_M1","High_M2","High_M3","High_M4","High_F1","High_F2","High_F3","High_F4","Freshwater","EconOutput_Low","EconOutput_Mid","EconOutput_High","logEconOutput_Low","logEconOutput_Mid","logEconOutput_High","Inequality_Low","Inequality_Mid","Inequality_High","LowPop","MidPop","HighPop","FemaleHealthAccess_Low","FemaleHealthAccess_Mid","FemaleHealthAccess_High","GeneralHealthAccess_RichLow","GeneralHealthAccess_RichMid","GeneralHealthAccess_RichHigh","GeneralHealthAccess_PoorLow","GeneralHealthAccess_PoorMid","GeneralHealthAccess_PoorHigh","GFR_Low","GFR_Mid","GFR_High","MortRate_LowRM1","MortRate_LowRM2","MortRate_LowRM3","MortRate_LowRM4","MortRate_LowRF1","MortRate_LowRF2","MortRate_LowRF3","MortRate_LowRF4","MortRate_LowPM1","MortRate_LowPM2","MortRate_LowPM3","MortRate_LowPM4","MortRate_LowPF1","MortRate_LowPF2","MortRate_LowPF3","MortRate_LowPF4","MortRate_MidRM1","MortRate_MidRM2","MortRate_MidRM3","MortRate_MidRM4","MortRate_MidRF1","MortRate_MidRF2","MortRate_MidRF3","MortRate_MidRF4","MortRate_MidPM1","MortRate_MidPM2","MortRate_MidPM3","MortRate_MidPM4","MortRate_MidPF1","MortRate_MidPF2","MortRate_MidPF3","MortRate_MidPF4","MortRate_HighRM1","MortRate_HighRM2","MortRate_HighRM3","MortRate_HighRM4","MortRate_HighRF1","MortRate_HighRF2","MortRate_HighRF3","MortRate_HighRF4","MortRate_HighPM1","MortRate_HighPM2","MortRate_HighPM3","MortRate_HighPM4","MortRate_HighPF1","MortRate_HighPF2","MortRate_HighPF3","MortRate_HighPF4","TempAnamoly","CO2Emission_Low","CO2Emission_Mid","CO2Emission_High","FishProduction","LivestockProduction","CropProduction","FishWaste","LivestockWaste","CropWaste","FishConsumption","LivestockConsumption","CropConsumption"
"1",1980,134604,472979,312807,57.1643092450593,84.4182585398009,71.2402181307,193098,2655498,6922247,338.8,2.92e+09,50347682,1.34e+08,1.12e+09,1,1,1,3197352800,1452360500,150,2363,19534,35,127,40372,56303.989,55877.602,8607.003,3327.096,55517.443,57382.839,9708.443,4244.782,634556.212,807166.652,150635.671,64999.386,606583.681,773664.143,153443.336,84938.656,113184.646,238236.569,63334.34,42232.84,107115.674,231895.896,70988.104,62951.056,42780,215237048696.55,0.00787420158019496,8.63414506467044e+39,26.0950058097869,-4.84416348605232,91.9565433253201,0.0756624470992908,3.20603998491423,0.34394548363117,250969.197,3275987.737,929939.125,0.274946827891179,0.341879297374863,0.976618274097984,0.0668930325003559,0.291250855082039,-1.00210436557338e+26,0.116282852695881,0.215425318703602,7.60948004834081e+27,-15959.8862630429,-20289.7453774684,-94632.8002369575,20.4458462850255,-43.1483279544228,8.6526313037019,36.5255541972077,26.5135450809825,-1.70686571109291,16.3886914302022,66.6170406044599,-79.0293234004721,-42.8700776535289,1.44337630950313,29.1732232390836,-189.031149009356,-14.3433410537021,7.98533540829275,51.5305428178141,7.49131834308751,-41.8843502482048,-24.0960757483053,3.12691135675279,31.9540656573265,-59.1092227504855,-21.784329892623,-1.91476980496334,-168.87043020224,-42.3115329799746,-13.0280940334503,14.4145499090806,-192.845163642558,-39.7091213329661,-8.88310904958812,21.2467193888799,5.78619851769692e+27,-5.64561361317112e+26,1.46273581754664e+28,1.49176549359944e+28,-2.43003313092024e+27,2.56390224871408e+28,1.70501526866984e+28,3.06100431897921e+28,-6.89557297955112e+30,4.28699700609387e+28,-1.11072852309608e+30,-1.13277220919531e+30,-2.92737001853176e+29,-1.94689931285977e+30,-1.29470343756421e+30,-2.32437379711741e+30,1.0021767755357,7.97452555732239,-60133240.3085474,-35886035.9371058,999.968865754768,999.968865754768,999.968865754768,0,974012.449763412,6071975.70679821,130092.428204072,162875.305441889,157265.989768913
"2",1981,134604.000057368,472979,8.63414506467044e+23,57.253319861003,84.4250643349775,149.60445807447,193951.41973791,2659817.63404379,6922615.72366223,332.549283425847,2929417010.77218,50218589.5406617,132864112.21366,1113771758.2723,NA,NA,NA,3204593937.69447,1458337097.24966,NA,NA,NA,NA,NA,NA,1e-16,60442.6138568697,9567.64250656943,3784.26455691698,1e-16,59687.4603472691,10557.9311763757,4622.04449733181,1e-16,860285.107415927,166951.479244557,74691.7788333431,1e-16,834727.218861858,168265.20904499,94937.3885544996,1.55570670266803e+32,1e-16,1.33283203251036e+31,9.06402554620874e+30,6.47957996097711e+30,8.55391248417044e+31,1.74134220452817e+31,2.77228093790517e+31,1e-16,159499066530.904,0.00549748192788085,1.22085997725442e+57,25.7953039066834,-5.20346512287485,131.44690581047,0.0704227291984766,3.01978101013407,0.0627499201901973,148661.956941333,2199858.18195517,3.1511795236513e+32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.902332782971083,8.01273754996809,-60051449.8753712,2955794720.19646,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1982,134604.00009988,472979,1.22085997725442e+41,57.3424690754858,84.431870678837,314.169361956387,194868.138866829,2664457.49046529,6923011.7972443,443.561445539846,NA,NA,NA,NA,NA,NA,NA,3211851474.60366,1464338288.74758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39742.6371307757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44674556046574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1983,NA,NA,NA,57.4317571043197,84.4386775714235,659.755660108412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3219125447.86736,1470364175.70134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1984,NA,NA,NA,57.5211841636526,84.4454850127813,1385.48688622767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3226415894.70944,1476414859.73502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1985,NA,NA,NA,57.6107504699692,84.4522930029546,2909.5224610781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3233722852.4381,1482490442.8909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1986,NA,NA,NA,57.700456240091,84.4591015419877,6109.99716826401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3241046358.44603,1488591027.63114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1987,NA,NA,NA,57.7903016911774,84.4659106299248,12830.9940533544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3248386450.21059,1494716716.83958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1988,NA,NA,NA,57.8802870407257,84.4727202668102,26945.0875120443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3255743165.29402,1500867613.82342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1989,NA,NA,NA,57.970412506572,84.4795304526882,56584.683775293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3263116541.34365,1507043822.31497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
